BASIN	MAP012023041205	MAP032023041205	MAP062023041205	MAP242023041205	GMAP062023041205	GMAP242023041205	ASMU062023041205	ASML062023041205	ASMT062023041205	FFG012023041205	FFG032023041205	FFG062023041205	PREVFFG012023041205	PREVFFG032023041205	PREVFFG062023041205	F1MAP012023041205	F1MAP032023041205	F1MAP062023041205	F1MAP242023041205	F2MAP012023041205	F2MAP032023041205	F2MAP062023041205	F2MAP242023041205	F3MAP012023041205	F3MAP032023041205	F3MAP062023041205	F3MAP242023041205	IFFT012023041205	IFFT032023041205	IFFT062023041205	PFFT012023041205	PFFT032023041205	PFFT062023041205	F1FFT012023041205	F1FFT032023041205	F1FFT062023041205	F2FFT012023041205	F2FFT032023041205	F2FFT062023041205	F3FFT012023041205	F3FFT032023041205	F3FFT062023041205	PET062023041205	F1FFR122023041205	F1FFR242023041205	F1FFR362023041205	F2FFR122023041205	F2FFR242023041205	F2FFR362023041205	F3FFR122023041205	F3FFR242023041205	F3FFR362023041205
2037200001	0.00	0.00	0.00	0.06	0.00	0.00	0.78	0.86	0.83	84.83	92.48	101.58	82.98	90.62	99.72	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.21	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200002	0.00	0.00	0.00	13.31	0.00	0.00	0.85	0.88	0.86	51.56	56.51	63.06	54.40	59.42	66.04	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200003	0.00	0.00	0.00	14.51	0.00	0.00	0.84	0.86	0.85	59.11	64.62	71.78	63.11	68.70	75.94	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200005	0.00	0.00	0.00	14.42	0.00	0.00	0.51	0.66	0.63	73.64	80.67	89.47	78.08	85.12	93.91	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200006	0.00	0.00	0.08	19.73	0.00	0.00	0.79	0.73	0.76	82.46	90.18	99.68	90.37	97.95	107.25	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200008	0.00	0.00	0.00	20.92	0.00	0.00	0.79	0.72	0.75	81.58	89.33	98.86	89.90	97.49	106.81	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200009	0.00	0.00	0.03	20.65	0.00	0.00	0.78	0.70	0.73	85.91	93.66	103.19	95.91	103.46	112.71	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200011	0.00	0.00	0.00	15.48	0.00	0.00	0.90	0.91	0.90	35.57	39.55	45.06	39.97	44.04	49.63	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200012	0.00	0.00	0.04	17.06	0.00	0.00	0.85	0.82	0.84	54.42	59.89	67.04	59.59	65.14	72.35	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200016	0.00	0.00	0.00	1.27	0.00	0.00	0.76	0.76	0.76	90.98	98.77	108.00	90.33	98.13	107.36	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.25	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200017	0.00	0.00	0.00	16.63	0.00	0.00	0.89	0.88	0.89	39.54	43.72	49.44	44.85	49.14	54.96	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200018	0.00	0.00	0.06	18.23	0.00	0.00	0.85	0.82	0.84	53.92	59.09	65.90	61.52	66.73	73.56	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200019	0.00	0.00	0.00	16.25	0.00	0.00	0.86	0.84	0.85	48.11	52.70	58.87	54.20	58.87	65.09	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200020	0.00	0.00	0.00	1.99	0.00	0.00	0.80	0.83	0.81	75.74	82.70	91.12	75.48	82.44	90.85	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.25	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200022	0.00	0.00	0.16	18.94	0.00	0.00	0.80	0.74	0.77	76.13	83.01	91.61	85.52	92.38	100.93	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200023	0.00	0.00	0.00	16.03	0.00	0.00	0.87	0.88	0.87	45.55	49.86	55.69	53.80	58.26	64.23	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200024	0.00	0.00	0.00	19.69	0.00	0.00	0.83	0.77	0.80	62.74	68.46	75.85	71.70	77.29	84.49	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200025	0.00	0.00	0.02	15.64	0.00	0.00	0.59	0.74	0.70	43.39	47.98	54.20	50.68	55.36	61.64	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200026	0.00	0.00	0.13	15.31	0.00	0.00	0.60	0.74	0.70	43.06	47.65	53.87	49.33	54.00	60.27	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200027	0.00	0.00	0.00	13.49	0.00	0.00	0.85	0.86	0.86	50.21	54.81	60.98	56.12	60.80	67.03	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200028	0.00	0.00	0.08	13.11	0.00	0.00	0.87	0.89	0.88	40.66	44.59	50.01	45.15	49.15	54.64	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200029	0.00	0.00	0.00	13.66	0.00	0.00	0.84	0.84	0.84	52.58	57.22	63.43	61.19	65.93	72.22	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200031	0.00	0.00	0.22	23.42	0.00	0.00	0.83	0.75	0.80	59.88	65.23	72.22	78.50	83.86	90.77	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.23	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200034	0.00	0.00	0.42	11.25	0.00	0.00	0.86	0.88	0.87	46.23	50.55	56.41	52.21	56.64	62.59	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200037	0.00	0.00	0.07	12.51	0.00	0.00	0.89	0.94	0.90	37.31	41.13	46.43	42.16	46.08	51.46	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200039	0.00	0.00	0.33	13.40	0.00	0.00	0.87	0.91	0.88	44.10	48.36	54.15	51.46	55.88	61.80	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200040	0.00	0.00	0.29	13.77	0.00	0.00	0.87	0.90	0.88	44.63	48.90	54.70	54.22	58.69	64.67	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.23	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200041	0.00	0.00	0.21	12.94	0.00	0.00	0.79	0.76	0.77	72.31	77.98	85.28	79.56	85.15	92.33	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.24	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200042	0.00	0.00	0.45	13.18	0.00	0.00	0.81	0.79	0.81	62.95	68.11	74.86	72.39	77.70	84.57	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.23	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200044	0.00	0.00	0.49	16.05	0.00	0.00	0.83	0.81	0.83	57.11	62.17	68.83	69.98	75.25	82.10	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.23	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200045	0.00	0.00	0.51	15.54	0.00	0.00	0.75	0.69	0.72	91.50	98.50	107.18	104.08	111.10	119.75	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.23	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
2037200046	0.00	0.00	0.95	19.03	0.00	0.00	0.81	0.78	0.80	61.89	67.05	73.80	77.97	83.37	90.33	-888.00	-888.00	-888.00	-888.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	0.00	0.00	0.00	0.00	0.00	0.00	-888.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00	1.23	0.00	0.00	0.00	-999.00	-999.00	-999.00	-999.00	-999.00	-999.00
